"","Sex","Con","COVID","Age","NivEco","Educ","GenRecod","Ideology1","Ideology2","IdePol","ExtMod","Homphily","Bias","skill","Global","EC","CA","DPol","EcoCount","Citizen","SC0"
"41","Male",1,1,2,2,3,"Male","Ninguno","Ninguno","0","Ninguno",25,19,17,11,21,10,13,49,72,3
"42","Female",0,1,2,2,4,"Female","Ninguno","Ninguno","0","Ninguno",17,23,19,14,24,9,16,45,82,2
"43","Male",0,1,1,3,4,"Male","Centro-Derecha","Derecha","1","1",18,6,15,4,14,4,4,26,41,4
"44","Male",0,0,1,5,3,"Male","Centro-Izquierda","Izquierda","1","0",19,11,21,12,17,4,10,35,64,4
"45","Male",0,1,2,4,4,"Male","Centro-Izquierda","Izquierda","1","1",22,16,21,14,23,8,14,41,80,4
"46","Female",1,1,1,2,4,"Female","Centro-Izquierda","Izquierda","1","1",30,17,21,13,20,10,11,51,75,5
"47","Female",0,1,1,3,4,"Female","E. Izquierda","Izquierda","1","1",24,18,21,14,21,10,17,49,83,3
"48","Female",0,1,1,2,3,"Female","Centro-Izquierda","Izquierda","1","0",30,19,21,14,25,8,6,59,74,6
"49","Male",0,0,2,4,5,"Male","Centro-Izquierda","Izquierda","1","0",16,15,17,9,12,2,11,35,51,3
"50","Male",0,1,2,3,4,"Male","Ninguno","Ninguno","0","Ninguno",26,13,21,13,26,2,3,45,65,6
"51","Male",0,1,1,3,3,"Male","Centro-Izquierda","Izquierda","1","1",16,12,20,10,11,5,4,30,50,4
"52","Female",0,1,2,2,4,"Female","Centro-Izquierda","Izquierda","1","1",15,15,18,12,17,6,13,34,66,4
"53","Female",0,1,1,3,3,"Female","Ninguno","Ninguno","0","Ninguno",19,5,21,12,15,2,6,30,56,4
"54","Female",0,1,2,3,4,"Female","Ninguno","Ninguno","0","Ninguno",30,18,20,14,24,12,18,49,88,4
"55","Female",1,1,2,4,5,"Female","Centro-Derecha","Derecha","1","1",30,5,16,8,15,3,4,38,46,4
"56","Male",1,0,2,3,5,"Male","Ninguno","Ninguno","0","Ninguno",8,17,19,12,23,11,12,33,77,4
"57","Male",0,1,1,2,3,"Male","Ninguno","Ninguno","0","Ninguno",15,18,21,14,14,2,3,34,54,5
"58","Female",0,0,2,4,4,"Female","Ninguno","Ninguno","0","Ninguno",6,7,15,11,21,10,10,15,67,1
"59","Female",0,1,2,4,5,"Female","Ninguno","Ninguno","0","Ninguno",15,3,21,9,9,6,3,24,48,4
"60","Male",0,1,2,4,5,"Male","Ninguno","Ninguno","0","Ninguno",18,13,19,14,9,4,3,36,49,2
"61","Male",0,1,3,4,4,"Male","Centro","Centro","1","0",3,3,15,11,16,8,12,7,62,4
"62","Male",1,1,2,2,3,"Male","E. Izquierda","Izquierda","1","1",27,15,21,14,24,10,9,43,78,7
"63","Female",0,0,1,4,3,"Female","Ninguno","Ninguno","0","Ninguno",21,18,17,8,15,4,8,45,52,4
"64","Female",0,1,1,2,3,"Female","E. Izquierda","Izquierda","1","1",30,16,21,14,18,5,3,47,61,3
"65","Male",1,0,3,2,3,"Male","Centro","Centro","1","0",26,25,20,12,25,14,20,59,91,2
"66","Female",0,0,3,3,4,"Female","Centro-Derecha","Derecha","1","0",30,9,15,14,27,3,14,43,73,2
"67","Male",0,0,3,3,4,"Male","Centro-Izquierda","Izquierda","1","1",26,21,21,12,21,7,9,52,70,0
"68","Female",0,0,2,4,4,"Female","Ninguno","Ninguno","0","Ninguno",24,16,21,14,16,8,4,41,63,2
"69","Female",1,1,3,3,4,"Female","Ninguno","Ninguno","0","Ninguno",18,14,18,12,20,3,15,38,68,4
"70","Male",1,0,3,4,4,"Male","Ninguno","Ninguno","0","Ninguno",11,3,19,10,4,4,14,15,51,3
"71","Female",1,1,2,3,4,"Female","E. Izquierda","Izquierda","1","1",6,15,21,14,20,10,9,22,74,5
"72","Female",0,1,1,3,4,"Female","Centro-Izquierda","Izquierda","1","0",25,20,21,14,25,6,4,53,70,4
"73","Female",1,1,3,4,4,"Female","E. Derecha","Derecha","1","1",23,20,18,11,13,6,6,44,54,3
"74","Female",0,1,3,3,4,"Female","Ninguno","Ninguno","0","Ninguno",16,10,21,14,28,8,3,27,74,4
"75","Male",0,1,3,4,4,"Male","Centro-Izquierda","Izquierda","1","1",13,11,11,11,7,8,7,26,44,2
"76","Female",1,1,4,4,3,"Female","Centro-Derecha","Derecha","1","1",24,17,14,10,15,5,3,48,47,6
"77","Female",0,1,4,4,4,"Female","Centro-Derecha","Derecha","1","1",17,11,18,12,21,4,5,30,60,2
"78","Female",0,1,4,2,3,"Female","Ninguno","Ninguno","0","Ninguno",24,24,18,14,21,10,14,54,77,4
"79","Male",0,1,4,5,4,"Male","Centro-Izquierda","Izquierda","1","1",3,3,21,12,12,2,8,7,55,5
"80","Female",1,0,4,2,3,"Female","Ninguno","Ninguno","0","Ninguno",21,10,20,11,18,8,12,33,69,3
"81","Male",0,1,4,4,4,"Male","Centro","Centro","1","0",23,15,21,14,24,10,10,40,79,4
"82","Female",1,1,1,3,4,"Female","Ninguno","Ninguno","0","Ninguno",9,12,20,14,24,8,8,27,74,7
"83","Female",0,1,1,3,3,"Female","Ninguno","Ninguno","0","Ninguno",28,23,19,14,24,3,3,59,63,4
"84","Female",0,1,3,2,3,"Female","Ninguno","Ninguno","0","Ninguno",18,16,17,12,6,5,9,42,49,3
"85","Male",0,1,2,3,3,"Male","Ninguno","Ninguno","0","Ninguno",15,13,20,11,17,9,8,33,65,3
"86","Male",1,1,3,4,5,"Male","Centro-Izquierda","Izquierda","1","0",21,10,21,7,14,9,8,34,59,6
"87","Female",0,1,2,1,4,"Female","E. Derecha","Derecha","1","1",15,14,19,12,19,9,12,34,71,4
"88","Female",0,1,4,3,4,"Female","E. Derecha","Derecha","1","1",29,20,21,14,28,9,4,58,76,3
"89","Male",0,1,1,3,3,"Male","E. Izquierda","Izquierda","1","1",19,12,16,12,14,8,13,35,63,4
