"","Age","NivEco","Genre","Genre_3_TEXT","Educ","Homo_1","Homo_2","Homo_3","Homo_4","Homo_5","Homo_6","Homo_7","DigiCit_1","DigiCit_2","DigiCit_3","DigiCit_4","DigiCit_5","DigiCit_6","DigiCit_7","DigiCit_8","DigiCit_9","DigiCit_10","DigiCit_11","DigiCit_12","DigiCit_13","DigiCit_14","IdePol","Ideolo_1","E2TC_1","E2TC_2","E2TC_3","E2TC_4","E2TC_5","E2TC_6","E2TC_7","E2TC_8","E2TC_9","E2TC_10","E2TC_11","E2TC_12","E2TC_DO","E2T1a_1","E2T1a_2","E2T1a_3","E2T1a_4","E2T1a_5","E2T1a_6","E2T1a_7","E2T1a_DO","E2T1a_ADO","E2T1b_1","E2T1b_2","E2T1b_3","E2T1b_4","E2T1b_5","E2T1b_6","E2T1b_7","E2T1b_DO","E2T1c_1","E2T1c_2","E2T1c_3","E2T1c_4","E2T1c_5","E2T1c_6","E2T1c_7","E2T1c_DO","E2T1d_1","E2T1d_2","E2T1d_3","E2T1d_4","E2T1d_5","E2T1d_6","E2T1d_7","E2T1d_DO","E2T1d_ADO","E2T2a_1","E2T2a_2","E2T2a_3","E2T2a_4","E2T2a_5","E2T2a_6","E2T2a_7","E2T2a_DO","E2T2a_ADO","E2T2b_1","E2T2b_2","E2T2b_3","E2T2b_4","E2T2b_5","E2T2b_6","E2T2b_7","E2T2b_8","E2T2b_9","E2T2b_10","E2T2b_11","E2T2b_12","E2T2b_DO","E2T2c_1","E2T2c_2","E2T2c_3","E2T2c_4","E2T2c_5","E2T2c_6","E2T2c_7","E2T2c_DO","E2T2c_ADO","end_4","SC0"
"49","1","3","2","","4","7","8","8","6","5","8","7","7","7","7","7","7","5","5","6","5","6","4","7","5","5","1","1","1","","1","2","1","","","","1","","2","2","1|9|3|11|5|12|4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3"
"50","1","2","2","","3","10","10","10","6","3","10","10","7","7","7","7","7","7","7","7","4","4","4","1","4","1","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","2","2","3|5|7|2|4|1|6","1|2","50","6"
"51","2","4","1","","5","4","5","7","5","3","4","7","6","6","5","6","3","4","3","3","2","1","1","2","5","4","1","4","","","","","","","","","","","","","","1","1","2","1","1","1","1","1|2|3|4|5|6|7","1|2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","3"
"52","2","3","1","","4","6","8","9","3","6","9","4","7","7","7","7","6","6","7","7","6","1","1","1","1","1","0","","1","","1","","","1","1","","2","1","","2","9|1|12|7|6|3|10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","6"
"53","1","3","1","","3","2","1","6","2","6","9","4","7","6","7","4","6","2","3","5","1","4","1","1","2","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","2","1","2","1","1|6|4|7|3|2|5","2|1","74","4"
"54","1","3","1","","4","6","4","8","2","2","9","5","7","7","7","7","5","5","2","3","2","2","2","1","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","2","","2","","1","2","2","8|1|10|11|2|12|6","","","","","","","","","","50","4"
"55","2","2","2","","4","4","4","5","4","5","6","6","6","6","6","6","6","4","4","4","5","3","3","4","5","4","1","3","","","","","","","","","","","","","","1","1","1","1","2","2","1","7|6|5|4|3|2|1","1|2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","4"
"56","1","3","2","","3","6","6","8","1","1","5","3","7","7","7","7","5","7","2","3","3","1","1","1","3","2","0","","1","","1","","","","1","","1","1","2","2","3|12|1|10|11|9|7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","4"
"57","2","3","2","","4","1","10","10","7","2","10","9","6","7","7","7","7","7","7","5","5","7","5","6","7","5","0","","1","","1","","","1","","","1","1","2","2","1|3|12|10|6|9|11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","4"
"58","2","4","2","","5","3","10","10","1","1","10","3","7","3","6","4","4","4","4","3","4","1","2","1","2","1","1","8","2","","1","","","","1","1","1","2","","1","3|12|9|8|10|1|7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","4"
